Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-11-12,2023-24,West Ham,Nott'm Forest,3,2,H
2023-11-12,2023-24,Chelsea,Man City,4,4,D
2023-11-25,2023-24,Man City,Liverpool,1,1,D
2023-11-25,2023-24,Burnley,West Ham,1,2,A
2023-11-25,2023-24,Luton,Crystal Palace,2,1,H
2023-11-25,2023-24,Newcastle,Chelsea,4,1,H
2023-11-25,2023-24,Nott'm Forest,Brighton,2,3,A
2023-11-25,2023-24,Sheffield United,Bournemouth,1,3,A
2023-11-25,2023-24,Brentford,Arsenal,0,1,A
2023-11-26,2023-24,Tottenham,Aston Villa,1,2,A
2023-11-26,2023-24,Everton,Man United,0,3,A
2023-11-27,2023-24,Fulham,Wolves,3,2,H
2023-12-02,2023-24,Arsenal,Wolves,2,1,H
2023-12-02,2023-24,Brentford,Luton,3,1,H
2023-12-02,2023-24,Burnley,Sheffield United,5,0,H
2023-12-02,2023-24,Nott'm Forest,Everton,0,1,A
2023-12-02,2023-24,Newcastle,Man United,1,0,H
2023-12-03,2023-24,Bournemouth,Aston Villa,2,2,D
2023-12-03,2023-24,Chelsea,Brighton,3,2,H
2023-12-03,2023-24,Liverpool,Fulham,4,3,H
2023-12-03,2023-24,West Ham,Crystal Palace,1,1,D
2023-12-03,2023-24,Man City,Tottenham,3,3,D
2023-12-05,2023-24,Wolves,Burnley,1,0,H
2023-12-05,2023-24,Luton,Arsenal,3,4,A
2023-12-06,2023-24,Brighton,Brentford,2,1,H
2023-12-06,2023-24,Crystal Palace,Bournemouth,0,2,A
2023-12-06,2023-24,Fulham,Nott'm Forest,5,0,H
2023-12-06,2023-24,Sheffield United,Liverpool,0,2,A
2023-12-06,2023-24,Aston Villa,Man City,1,0,H
2023-12-06,2023-24,Man United,Chelsea,2,1,H
2023-12-07,2023-24,Everton,Newcastle,3,0,H
2023-12-07,2023-24,Tottenham,West Ham,1,2,A
2023-12-09,2023-24,Crystal Palace,Liverpool,1,2,A
2023-12-09,2023-24,Brighton,Burnley,1,1,D
2023-12-09,2023-24,Man United,Bournemouth,0,3,A
2023-12-09,2023-24,Sheffield United,Brentford,1,0,H
2023-12-09,2023-24,Wolves,Nott'm Forest,1,1,D
2023-12-09,2023-24,Aston Villa,Arsenal,1,0,H
2023-12-10,2023-24,Everton,Chelsea,2,0,H
2023-12-10,2023-24,Fulham,West Ham,5,0,H
2023-12-10,2023-24,Luton,Man City,1,2,A
2023-12-10,2023-24,Tottenham,Newcastle,4,1,H
2023-12-15,2023-24,Nott'm Forest,Tottenham,0,2,A
2023-12-16,2023-24,Chelsea,Sheffield United,2,0,H
2023-12-16,2023-24,Man City,Crystal Palace,2,2,D
2023-12-16,2023-24,Newcastle,Fulham,3,0,H
2023-12-16,2023-24,Burnley,Everton,0,2,A
2023-12-17,2023-24,Arsenal,Brighton,2,0,H
2023-12-17,2023-24,Brentford,Aston Villa,1,2,A
2023-12-17,2023-24,West Ham,Wolves,3,0,H
2023-12-17,2023-24,Liverpool,Man United,0,0,D
2023-12-21,2023-24,Crystal Palace,Brighton,1,1,D
2023-12-22,2023-24,Aston Villa,Sheffield United,1,1,D
2023-12-23,2023-24,West Ham,Man United,2,0,H
2023-12-23,2023-24,Fulham,Burnley,0,2,A
2023-12-23,2023-24,Luton,Newcastle,1,0,H
2023-12-23,2023-24,Nott'm Forest,Bournemouth,2,3,A
2023-12-23,2023-24,Tottenham,Everton,2,1,H
2023-12-23,2023-24,Liverpool,Arsenal,1,1,D
2023-12-24,2023-24,Wolves,Chelsea,2,1,H
2023-12-26,2023-24,Newcastle,Nott'm Forest,1,3,A
2023-12-26,2023-24,Bournemouth,Fulham,3,0,H
2023-12-26,2023-24,Sheffield United,Luton,2,3,A
2023-12-26,2023-24,Burnley,Liverpool,0,2,A
2023-12-26,2023-24,Man United,Aston Villa,3,2,H
2023-12-27,2023-24,Brentford,Wolves,1,4,A
2023-12-27,2023-24,Chelsea,Crystal Palace,2,1,H
2023-12-27,2023-24,Everton,Man City,1,3,A
2023-12-28,2023-24,Brighton,Tottenham,4,2,H
2023-12-28,2023-24,Arsenal,West Ham,0,2,A
2023-12-30,2023-24,Luton,Chelsea,2,3,A
2023-12-30,2023-24,Aston Villa,Burnley,3,2,H
2023-12-30,2023-24,Crystal Palace,Brentford,3,1,H
2023-12-30,2023-24,Man City,Sheffield United,2,0,H
2023-12-30,2023-24,Wolves,Everton,3,0,H
2023-12-30,2023-24,Nott'm Forest,Man United,2,1,H
2023-12-31,2023-24,Fulham,Arsenal,2,1,H
2023-12-31,2023-24,Tottenham,Bournemouth,3,1,H
2024-01-01,2023-24,Liverpool,Newcastle,4,2,H
2024-01-02,2023-24,West Ham,Brighton,0,0,D
2024-01-12,2023-24,Burnley,Luton,1,1,D
2024-01-13,2023-24,Chelsea,Fulham,1,0,H
2024-01-13,2023-24,Newcastle,Man City,2,3,A
2024-01-14,2023-24,Everton,Aston Villa,0,0,D
2024-01-14,2023-24,Man United,Tottenham,2,2,D
2024-01-20,2023-24,Arsenal,Crystal Palace,5,0,H
2024-01-20,2023-24,Brentford,Nott'm Forest,3,2,H
2024-01-21,2023-24,Sheffield United,West Ham,2,2,D
2024-01-21,2023-24,Bournemouth,Liverpool,0,4,A
2024-01-22,2023-24,Brighton,Wolves,0,0,D
2024-01-30,2023-24,Nott'm Forest,Arsenal,1,2,A
2024-01-30,2023-24,Fulham,Everton,0,0,D
2024-01-30,2023-24,Luton,Brighton,4,0,H
2024-01-30,2023-24,Crystal Palace,Sheffield United,3,2,H
2024-01-30,2023-24,Aston Villa,Newcastle,1,3,A
2024-01-31,2023-24,Man City,Burnley,3,1,H
2024-01-31,2023-24,Tottenham,Brentford,3,2,H
2024-01-31,2023-24,Liverpool,Chelsea,4,1,H
2024-02-01,2023-24,West Ham,Bournemouth,1,1,D
2024-02-01,2023-24,Wolves,Man United,3,4,A
2024-02-03,2023-24,Everton,Tottenham,2,2,D
2024-02-03,2023-24,Brighton,Crystal Palace,4,1,H
2024-02-03,2023-24,Burnley,Fulham,2,2,D
2024-02-03,2023-24,Newcastle,Luton,4,4,D
2024-02-03,2023-24,Sheffield United,Aston Villa,0,5,A
2024-02-04,2023-24,Bournemouth,Nott'm Forest,1,1,D
2024-02-04,2023-24,Chelsea,Wolves,2,4,A
2024-02-04,2023-24,Man United,West Ham,3,0,H
2024-02-04,2023-24,Arsenal,Liverpool,3,1,H
2024-02-05,2023-24,Brentford,Man City,1,3,A
2024-02-10,2023-24,Man City,Everton,2,0,H
2024-02-10,2023-24,Fulham,Bournemouth,3,1,H
2024-02-10,2023-24,Liverpool,Burnley,3,1,H
2024-02-10,2023-24,Luton,Sheffield United,1,3,A
2024-02-10,2023-24,Tottenham,Brighton,2,1,H
2024-02-10,2023-24,Wolves,Brentford,0,2,A
2024-02-10,2023-24,Nott'm Forest,Newcastle,2,3,A
2024-02-11,2023-24,West Ham,Arsenal,0,6,A
2024-02-11,2023-24,Aston Villa,Man United,1,2,A
2024-02-12,2023-24,Crystal Palace,Chelsea,1,3,A
2024-02-17,2023-24,Brentford,Liverpool,1,4,A
2024-02-17,2023-24,Burnley,Arsenal,0,5,A
2024-02-17,2023-24,Fulham,Aston Villa,1,2,A
2024-02-17,2023-24,Newcastle,Bournemouth,2,2,D
2024-02-17,2023-24,Nott'm Forest,West Ham,2,0,H
2024-02-17,2023-24,Tottenham,Wolves,1,2,A
2024-02-17,2023-24,Man City,Chelsea,1,1,D
2024-02-18,2023-24,Sheffield United,Brighton,0,5,A
2024-02-18,2023-24,Luton,Man United,1,2,A
2024-02-19,2023-24,Everton,Crystal Palace,1,1,D
2024-02-20,2023-24,Man City,Brentford,1,0,H
2024-02-21,2023-24,Liverpool,Luton,4,1,H
2024-02-24,2023-24,Aston Villa,Nott'm Forest,4,2,H
2024-02-24,2023-24,Brighton,Everton,1,1,D
2024-02-24,2023-24,Crystal Palace,Burnley,3,0,H
2024-02-24,2023-24,Man United,Fulham,1,2,A
2024-02-24,2023-24,Bournemouth,Man City,0,1,A
2024-02-24,2023-24,Arsenal,Newcastle,4,1,H
2024-02-25,2023-24,Wolves,Sheffield United,1,0,H
2024-02-26,2023-24,West Ham,Brentford,4,2,H
2024-03-02,2023-24,Brentford,Chelsea,2,2,D
2024-03-02,2023-24,Everton,West Ham,1,3,A
2024-03-02,2023-24,Fulham,Brighton,3,0,H
2024-03-02,2023-24,Newcastle,Wolves,3,0,H
2024-03-02,2023-24,Nott'm Forest,Liverpool,0,1,A
2024-03-02,2023-24,Tottenham,Crystal Palace,3,1,H
2024-03-02,2023-24,Luton,Aston Villa,2,3,A
2024-03-03,2023-24,Burnley,Bournemouth,0,2,A
2024-03-03,2023-24,Man City,Man United,3,1,H
2024-03-04,2023-24,Sheffield United,Arsenal,0,6,A
2024-03-09,2023-24,Man United,Everton,2,0,H
2024-03-09,2023-24,Bournemouth,Sheffield United,2,2,D
2024-03-09,2023-24,Crystal Palace,Luton,1,1,D
2024-03-09,2023-24,Wolves,Fulham,2,1,H
2024-03-09,2023-24,Arsenal,Brentford,2,1,H
2024-03-10,2023-24,Aston Villa,Tottenham,0,4,A
2024-03-10,2023-24,Brighton,Nott'm Forest,1,0,H
2024-03-10,2023-24,West Ham,Burnley,2,2,D
2024-03-10,2023-24,Liverpool,Man City,1,1,D
2024-03-11,2023-24,Chelsea,Newcastle,3,2,H
2024-03-13,2023-24,Bournemouth,Luton,4,3,H
2024-03-16,2023-24,Burnley,Brentford,2,1,H
2024-03-16,2023-24,Luton,Nott'm Forest,1,1,D
2024-03-16,2023-24,Fulham,Tottenham,3,0,H
2024-03-17,2023-24,West Ham,Aston Villa,1,1,D
2024-03-30,2023-24,Newcastle,West Ham,4,3,H
2024-03-30,2023-24,Bournemouth,Everton,2,1,H
2024-03-30,2023-24,Chelsea,Burnley,2,2,D
2024-03-30,2023-24,Nott'm Forest,Crystal Palace,1,1,D
2024-03-30,2023-24,Sheffield United,Fulham,3,3,D
2024-03-30,2023-24,Tottenham,Luton,2,1,H
2024-03-30,2023-24,Aston Villa,Wolves,2,0,H
2024-03-30,2023-24,Brentford,Man United,1,1,D
2024-03-31,2023-24,Liverpool,Brighton,2,1,H
2024-03-31,2023-24,Man City,Arsenal,0,0,D
2024-04-02,2023-24,Newcastle,Everton,1,1,D
2024-04-02,2023-24,Nott'm Forest,Fulham,3,1,H
2024-04-02,2023-24,Bournemouth,Crystal Palace,1,0,H
2024-04-02,2023-24,Burnley,Wolves,1,1,D
2024-04-02,2023-24,West Ham,Tottenham,1,1,D
2024-04-03,2023-24,Arsenal,Luton,2,0,H
2024-04-03,2023-24,Brentford,Brighton,0,0,D
2024-04-03,2023-24,Man City,Aston Villa,4,1,H
2024-04-04,2023-24,Liverpool,Sheffield United,3,1,H
2024-04-04,2023-24,Chelsea,Man United,4,3,H
2024-04-06,2023-24,Crystal Palace,Man City,2,4,A
2024-04-06,2023-24,Aston Villa,Brentford,3,3,D
2024-04-06,2023-24,Everton,Burnley,1,0,H
2024-04-06,2023-24,Fulham,Newcastle,0,1,A
2024-04-06,2023-24,Luton,Bournemouth,2,1,H
2024-04-06,2023-24,Wolves,West Ham,1,2,A
2024-04-06,2023-24,Brighton,Arsenal,0,3,A
2024-04-07,2023-24,Man United,Liverpool,2,2,D
2024-04-07,2023-24,Sheffield United,Chelsea,2,2,D
2024-04-07,2023-24,Tottenham,Nott'm Forest,3,1,H
2024-04-13,2023-24,Newcastle,Tottenham,4,0,H
2024-04-13,2023-24,Brentford,Sheffield United,2,0,H
2024-04-13,2023-24,Burnley,Brighton,1,1,D
2024-04-13,2023-24,Man City,Luton,5,1,H
2024-04-13,2023-24,Nott'm Forest,Wolves,2,2,D
2024-04-13,2023-24,Bournemouth,Man United,2,2,D
2024-04-14,2023-24,Liverpool,Crystal Palace,0,1,A
2024-04-14,2023-24,West Ham,Fulham,0,2,A
2024-04-14,2023-24,Arsenal,Aston Villa,0,2,A
2024-04-15,2023-24,Chelsea,Everton,6,0,H
2024-04-20,2023-24,Luton,Brentford,1,5,A
2024-04-20,2023-24,Sheffield United,Burnley,1,4,A
2024-04-20,2023-24,Wolves,Arsenal,0,2,A
2024-04-21,2023-24,Everton,Nott'm Forest,2,0,H
2024-04-21,2023-24,Aston Villa,Bournemouth,3,1,H
2024-04-21,2023-24,Crystal Palace,West Ham,5,2,H
2024-04-21,2023-24,Fulham,Liverpool,1,3,A
2024-04-23,2023-24,Arsenal,Chelsea,5,0,H
2024-04-24,2023-24,Wolves,Bournemouth,0,1,A
2024-04-24,2023-24,Crystal Palace,Newcastle,2,0,H
2024-04-24,2023-24,Everton,Liverpool,2,0,H
2024-04-24,2023-24,Man United,Sheffield United,4,2,H
2024-04-25,2023-24,Brighton,Man City,0,4,A
2024-04-27,2023-24,West Ham,Liverpool,2,2,D
2024-04-27,2023-24,Fulham,Crystal Palace,1,1,D
2024-04-27,2023-24,Man United,Burnley,1,1,D
2024-04-27,2023-24,Newcastle,Sheffield United,5,1,H
2024-04-27,2023-24,Wolves,Luton,2,1,H
2024-04-27,2023-24,Everton,Brentford,1,0,H
2024-04-27,2023-24,Aston Villa,Chelsea,2,2,D
2024-04-28,2023-24,Bournemouth,Brighton,3,0,H
2024-04-28,2023-24,Tottenham,Arsenal,2,3,A
2024-04-28,2023-24,Nott'm Forest,Man City,0,2,A
2024-05-02,2023-24,Chelsea,Tottenham,2,0,H
2024-05-03,2023-24,Luton,Everton,1,1,D
2024-05-04,2023-24,Arsenal,Bournemouth,3,0,H
2024-05-04,2023-24,Brentford,Fulham,0,0,D
2024-05-04,2023-24,Burnley,Newcastle,1,4,A
2024-05-04,2023-24,Sheffield United,Nott'm Forest,1,3,A
2024-05-04,2023-24,Man City,Wolves,5,1,H
2024-05-05,2023-24,Brighton,Aston Villa,1,0,H
2024-05-05,2023-24,Chelsea,West Ham,5,0,H
2024-05-05,2023-24,Liverpool,Tottenham,4,2,H
2024-05-06,2023-24,Crystal Palace,Man United,4,0,H
2024-05-11,2023-24,Fulham,Man City,0,4,A
2024-05-11,2023-24,Bournemouth,Brentford,1,2,A
2024-05-11,2023-24,Everton,Sheffield United,1,0,H
2024-05-11,2023-24,Newcastle,Brighton,1,1,D
2024-05-11,2023-24,Tottenham,Burnley,2,1,H
2024-05-11,2023-24,West Ham,Luton,3,1,H
2024-05-11,2023-24,Wolves,Crystal Palace,1,3,A
2024-05-11,2023-24,Nott'm Forest,Chelsea,2,3,A
2024-05-12,2023-24,Man United,Arsenal,0,1,A
2024-05-13,2023-24,Aston Villa,Liverpool,3,3,D
2024-05-14,2023-24,Tottenham,Man City,0,2,A
2024-05-15,2023-24,Brighton,Chelsea,1,2,A
2024-05-15,2023-24,Man United,Newcastle,3,2,H
2024-05-19,2023-24,Arsenal,Everton,2,1,H
2024-05-19,2023-24,Brentford,Newcastle,2,4,A
2024-05-19,2023-24,Brighton,Man United,0,2,A
2024-05-19,2023-24,Burnley,Nott'm Forest,1,2,A
2024-05-19,2023-24,Chelsea,Bournemouth,2,1,H
2024-05-19,2023-24,Crystal Palace,Aston Villa,5,0,H
2024-05-19,2023-24,Liverpool,Wolves,2,0,H
2024-05-19,2023-24,Luton,Fulham,2,4,A
2024-05-19,2023-24,Man City,West Ham,3,1,H
2024-05-19,2023-24,Sheffield United,Tottenham,0,3,A
2024-08-16,2024-25,Man United,Fulham,1,0,H
2024-08-17,2024-25,Ipswich,Liverpool,0,2,A
2024-08-17,2024-25,Arsenal,Wolves,2,0,H
2024-08-17,2024-25,Everton,Brighton,0,3,A
2024-08-17,2024-25,Newcastle,Southampton,1,0,H
2024-08-17,2024-25,Nott'm Forest,Bournemouth,1,1,D
2024-08-17,2024-25,West Ham,Aston Villa,1,2,A
2024-08-18,2024-25,Brentford,Crystal Palace,2,1,H
2024-08-18,2024-25,Chelsea,Man City,0,2,A
2024-08-19,2024-25,Leicester,Tottenham,1,1,D
2024-08-24,2024-25,Brighton,Man United,2,1,H
2024-08-24,2024-25,Crystal Palace,West Ham,0,2,A
2024-08-24,2024-25,Fulham,Leicester,2,1,H
2024-08-24,2024-25,Man City,Ipswich,4,1,H
2024-08-24,2024-25,Southampton,Nott'm Forest,0,1,A
2024-08-24,2024-25,Tottenham,Everton,4,0,H
2024-08-24,2024-25,Aston Villa,Arsenal,0,2,A
2024-08-25,2024-25,Bournemouth,Newcastle,1,1,D
2024-08-25,2024-25,Wolves,Chelsea,2,6,A
2024-08-25,2024-25,Liverpool,Brentford,2,0,H
2024-08-31,2024-25,Arsenal,Brighton,1,1,D
2024-08-31,2024-25,Brentford,Southampton,3,1,H
2024-08-31,2024-25,Everton,Bournemouth,2,3,A
2024-08-31,2024-25,Ipswich,Fulham,1,1,D
2024-08-31,2024-25,Leicester,Aston Villa,1,2,A
2024-08-31,2024-25,Nott'm Forest,Wolves,1,1,D
2024-08-31,2024-25,West Ham,Man City,1,3,A
2024-09-01,2024-25,Chelsea,Crystal Palace,1,1,D
2024-09-01,2024-25,Newcastle,Tottenham,2,1,H
2024-09-01,2024-25,Man United,Liverpool,0,3,A
2024-09-14,2024-25,Southampton,Man United,0,3,A
2024-09-14,2024-25,Brighton,Ipswich,0,0,D
2024-09-14,2024-25,Crystal Palace,Leicester,2,2,D
2024-09-14,2024-25,Fulham,West Ham,1,1,D
2024-09-14,2024-25,Liverpool,Nott'm Forest,0,1,A
2024-09-14,2024-25,Man City,Brentford,2,1,H
2024-09-14,2024-25,Aston Villa,Everton,3,2,H
2024-09-14,2024-25,Bournemouth,Chelsea,0,1,A
2024-09-15,2024-25,Tottenham,Arsenal,0,1,A
2024-09-15,2024-25,Wolves,Newcastle,1,2,A
2024-09-21,2024-25,West Ham,Chelsea,0,3,A
2024-09-21,2024-25,Aston Villa,Wolves,3,1,H
2024-09-21,2024-25,Fulham,Newcastle,3,1,H
2024-09-21,2024-25,Leicester,Everton,1,1,D
2024-09-21,2024-25,Liverpool,Bournemouth,3,0,H
2024-09-21,2024-25,Southampton,Ipswich,1,1,D
2024-09-21,2024-25,Tottenham,Brentford,3,1,H
2024-09-21,2024-25,Crystal Palace,Man United,0,0,D
2024-09-22,2024-25,Brighton,Nott'm Forest,2,2,D
2024-09-22,2024-25,Man City,Arsenal,2,2,D
2024-09-28,2024-25,Newcastle,Man City,1,1,D
2024-09-28,2024-25,Arsenal,Leicester,4,2,H
2024-09-28,2024-25,Brentford,West Ham,1,1,D
2024-09-28,2024-25,Chelsea,Brighton,4,2,H
2024-09-28,2024-25,Everton,Crystal Palace,2,1,H
2024-09-28,2024-25,Nott'm Forest,Fulham,0,1,A
2024-09-28,2024-25,Wolves,Liverpool,1,2,A
2024-09-29,2024-25,Ipswich,Aston Villa,2,2,D
2024-09-29,2024-25,Man United,Tottenham,0,3,A
2024-09-30,2024-25,Bournemouth,Southampton,3,1,H
2024-10-05,2024-25,Crystal Palace,Liverpool,0,1,A
2024-10-05,2024-25,Arsenal,Southampton,3,1,H
2024-10-05,2024-25,Brentford,Wolves,5,3,H
2024-10-05,2024-25,Leicester,Bournemouth,1,0,H
2024-10-05,2024-25,Man City,Fulham,3,2,H
2024-10-05,2024-25,West Ham,Ipswich,4,1,H
2024-10-05,2024-25,Everton,Newcastle,0,0,D
2024-10-06,2024-25,Aston Villa,Man United,0,0,D
2024-10-06,2024-25,Chelsea,Nott'm Forest,1,1,D
2024-10-06,2024-25,Brighton,Tottenham,3,2,H
2024-10-19,2024-25,Tottenham,West Ham,4,1,H
2024-10-19,2024-25,Fulham,Aston Villa,1,3,A
2024-10-19,2024-25,Ipswich,Everton,0,2,A
2024-10-19,2024-25,Man United,Brentford,2,1,H
2024-10-19,2024-25,Newcastle,Brighton,0,1,A
2024-10-19,2024-25,Southampton,Leicester,2,3,A
2024-10-19,2024-25,Bournemouth,Arsenal,2,0,H
2024-10-20,2024-25,Wolves,Man City,1,2,A
2024-10-20,2024-25,Liverpool,Chelsea,2,1,H
2024-10-21,2024-25,Nott'm Forest,Crystal Palace,1,0,H
2024-10-25,2024-25,Leicester,Nott'm Forest,1,3,A
2024-10-26,2024-25,Aston Villa,Bournemouth,1,1,D
2024-10-26,2024-25,Brentford,Ipswich,4,3,H
2024-10-26,2024-25,Brighton,Wolves,2,2,D
2024-10-26,2024-25,Man City,Southampton,1,0,H
2024-10-26,2024-25,Everton,Fulham,1,1,D
2024-10-27,2024-25,Chelsea,Newcastle,2,1,H
2024-10-27,2024-25,Crystal Palace,Tottenham,1,0,H
2024-10-27,2024-25,West Ham,Man United,2,1,H
2024-10-27,2024-25,Arsenal,Liverpool,2,2,D
2024-11-02,2024-25,Newcastle,Arsenal,1,0,H
2024-11-02,2024-25,Bournemouth,Man City,2,1,H
2024-11-02,2024-25,Ipswich,Leicester,1,1,D
2024-11-02,2024-25,Liverpool,Brighton,2,1,H
2024-11-02,2024-25,Nott'm Forest,West Ham,3,0,H
2024-11-02,2024-25,Southampton,Everton,1,0,H
2024-11-02,2024-25,Wolves,Crystal Palace,2,2,D
2024-11-03,2024-25,Tottenham,Aston Villa,4,1,H
2024-11-03,2024-25,Man United,Chelsea,1,1,D
2024-11-04,2024-25,Fulham,Brentford,2,1,H
2024-11-09,2024-25,Brentford,Bournemouth,3,2,H
2024-11-09,2024-25,Crystal Palace,Fulham,0,2,A
2024-11-09,2024-25,West Ham,Everton,0,0,D
2024-11-09,2024-25,Wolves,Southampton,2,0,H
2024-11-09,2024-25,Brighton,Man City,2,1,H
2024-11-09,2024-25,Liverpool,Aston Villa,2,0,H
2024-11-10,2024-25,Man United,Leicester,3,0,H
2024-11-10,2024-25,Nott'm Forest,Newcastle,1,3,A
2024-11-10,2024-25,Tottenham,Ipswich,1,2,A
2024-11-10,2024-25,Chelsea,Arsenal,1,1,D
2024-11-23,2024-25,Leicester,Chelsea,1,2,A
2024-11-23,2024-25,Arsenal,Nott'm Forest,3,0,H
2024-11-23,2024-25,Aston Villa,Crystal Palace,2,2,D
2024-11-23,2024-25,Bournemouth,Brighton,1,2,A
2024-11-23,2024-25,Everton,Brentford,0,0,D
2024-11-23,2024-25,Fulham,Wolves,1,4,A
2024-11-23,2024-25,Man City,Tottenham,0,4,A
2024-11-24,2024-25,Southampton,Liverpool,2,3,A
2024-11-24,2024-25,Ipswich,Man United,1,1,D
2024-11-25,2024-25,Newcastle,West Ham,0,2,A
2024-11-29,2024-25,Brighton,Southampton,1,1,D
2024-11-30,2024-25,Brentford,Leicester,4,1,H
2024-11-30,2024-25,Crystal Palace,Newcastle,1,1,D
2024-11-30,2024-25,Nott'm Forest,Ipswich,1,0,H
2024-11-30,2024-25,Wolves,Bournemouth,2,4,A
2024-11-30,2024-25,West Ham,Arsenal,2,5,A
2024-12-01,2024-25,Chelsea,Aston Villa,3,0,H
2024-12-01,2024-25,Man United,Everton,4,0,H
2024-12-01,2024-25,Tottenham,Fulham,1,1,D
2024-12-01,2024-25,Liverpool,Man City,2,0,H
2024-12-03,2024-25,Ipswich,Crystal Palace,0,1,A
2024-12-03,2024-25,Leicester,West Ham,3,1,H
2024-12-04,2024-25,Everton,Wolves,4,0,H
2024-12-04,2024-25,Man City,Nott'm Forest,3,0,H
2024-12-04,2024-25,Newcastle,Liverpool,3,3,D
2024-12-04,2024-25,Southampton,Chelsea,1,5,A
2024-12-04,2024-25,Arsenal,Man United,2,0,H
2024-12-04,2024-25,Aston Villa,Brentford,3,1,H
2024-12-05,2024-25,Fulham,Brighton,3,1,H
2024-12-05,2024-25,Bournemouth,Tottenham,1,0,H
2024-12-07,2024-25,Aston Villa,Southampton,1,0,H
2024-12-07,2024-25,Brentford,Newcastle,4,2,H
2024-12-07,2024-25,Crystal Palace,Man City,2,2,D
2024-12-07,2024-25,Man United,Nott'm Forest,2,3,A
2024-12-08,2024-25,Fulham,Arsenal,1,1,D
2024-12-08,2024-25,Ipswich,Bournemouth,1,2,A
2024-12-08,2024-25,Leicester,Brighton,2,2,D
2024-12-08,2024-25,Tottenham,Chelsea,3,4,A
2024-12-09,2024-25,West Ham,Wolves,2,1,H
2024-12-14,2024-25,Arsenal,Everton,0,0,D
2024-12-14,2024-25,Liverpool,Fulham,2,2,D
2024-12-14,2024-25,Newcastle,Leicester,4,0,H
2024-12-14,2024-25,Wolves,Ipswich,1,2,A
2024-12-14,2024-25,Nott'm Forest,Aston Villa,2,1,H
2024-12-15,2024-25,Brighton,Crystal Palace,1,3,A
2024-12-15,2024-25,Man City,Man United,1,2,A
2024-12-15,2024-25,Chelsea,Brentford,2,1,H
2024-12-15,2024-25,Southampton,Tottenham,0,5,A
2024-12-16,2024-25,Bournemouth,West Ham,1,1,D
2024-12-21,2024-25,Aston Villa,Man City,2,1,H
2024-12-21,2024-25,Brentford,Nott'm Forest,0,2,A
2024-12-21,2024-25,Ipswich,Newcastle,0,4,A
2024-12-21,2024-25,West Ham,Brighton,1,1,D
2024-12-21,2024-25,Crystal Palace,Arsenal,1,5,A
2024-12-22,2024-25,Everton,Chelsea,0,0,D
2024-12-22,2024-25,Fulham,Southampton,0,0,D
2024-12-22,2024-25,Leicester,Wolves,0,3,A
2024-12-22,2024-25,Man United,Bournemouth,0,3,A
2024-12-22,2024-25,Tottenham,Liverpool,3,6,A
2024-12-26,2024-25,Man City,Everton,1,1,D
2024-12-26,2024-25,Bournemouth,Crystal Palace,0,0,D
2024-12-26,2024-25,Chelsea,Fulham,1,2,A
2024-12-26,2024-25,Newcastle,Aston Villa,3,0,H
2024-12-26,2024-25,Nott'm Forest,Tottenham,1,0,H
2024-12-26,2024-25,Southampton,West Ham,0,1,A
2024-12-26,2024-25,Wolves,Man United,2,0,H
2024-12-26,2024-25,Liverpool,Leicester,3,1,H
2024-12-27,2024-25,Brighton,Brentford,0,0,D
2024-12-27,2024-25,Arsenal,Ipswich,1,0,H
2024-12-29,2024-25,Leicester,Man City,0,2,A
2024-12-29,2024-25,Crystal Palace,Southampton,2,1,H
2024-12-29,2024-25,Everton,Nott'm Forest,0,2,A
2024-12-29,2024-25,Fulham,Bournemouth,2,2,D
2024-12-29,2024-25,Tottenham,Wolves,2,2,D
2024-12-29,2024-25,West Ham,Liverpool,0,5,A
2024-12-30,2024-25,Aston Villa,Brighton,2,2,D
2024-12-30,2024-25,Ipswich,Chelsea,2,0,H
2024-12-30,2024-25,Man United,Newcastle,0,2,A
2025-01-01,2024-25,Brentford,Arsenal,1,3,A
2025-01-04,2024-25,Tottenham,Newcastle,1,2,A
2025-01-04,2024-25,Aston Villa,Leicester,2,1,H
2025-01-04,2024-25,Bournemouth,Everton,1,0,H
2025-01-04,2024-25,Crystal Palace,Chelsea,1,1,D
2025-01-04,2024-25,Man City,West Ham,4,1,H
2025-01-04,2024-25,Southampton,Brentford,0,5,A
2025-01-04,2024-25,Brighton,Arsenal,1,1,D
2025-01-05,2024-25,Fulham,Ipswich,2,2,D
2025-01-05,2024-25,Liverpool,Man United,2,2,D
2025-01-06,2024-25,Wolves,Nott'm Forest,0,3,A
2025-01-14,2024-25,Brentford,Man City,2,2,D
2025-01-14,2024-25,Chelsea,Bournemouth,2,2,D
2025-01-14,2024-25,West Ham,Fulham,3,2,H
2025-01-14,2024-25,Nott'm Forest,Liverpool,1,1,D
2025-01-15,2024-25,Everton,Aston Villa,0,1,A
2025-01-15,2024-25,Leicester,Crystal Palace,0,2,A
2025-01-15,2024-25,Newcastle,Wolves,3,0,H
2025-01-15,2024-25,Arsenal,Tottenham,2,1,H
2025-01-16,2024-25,Ipswich,Brighton,0,2,A
2025-01-16,2024-25,Man United,Southampton,3,1,H
2025-01-18,2024-25,Newcastle,Bournemouth,1,4,A
2025-01-18,2024-25,Brentford,Liverpool,0,2,A
2025-01-18,2024-25,Leicester,Fulham,0,2,A
